HomeOwnerFlag,YearlyIncome,AveMonthSpend,BikeBuyer,CountryRegionName_In_Europe,Education_Below_Bachelors,Occupation_Clerical_Manual,Occupation_Management_Professional,Gender_M,MaritalStatus_S,NumberCarsOwned_3_Or_More,NumberChildrenAtHome_2_Or_More
0,310.5704428950057,4.174387269895637,1,0,0,0,1,0,1,0,1
1,323.93826572357887,4.718498871295094,1,0,0,0,1,1,0,0,1
0,333.46214177924304,4.584967478670572,1,0,0,0,1,0,0,0,1
1,287.05922733819233,4.07753744390572,0,0,1,0,1,0,0,0,0
0,359.2283396392885,4.532599493153256,1,0,0,0,1,1,1,1,0
0,411.74263806411886,5.093750200806762,1,0,1,0,1,1,0,1,1
0,322.2142144598838,4.382026634673881,0,0,0,0,1,1,0,1,0
1,393.9098881724093,5.153291594497779,1,0,1,0,1,1,0,1,1
1,321.3798375754148,4.718498871295094,1,0,0,0,1,1,0,0,1
1,254.14366016094127,3.970291913552122,0,0,1,1,0,0,0,0,0
0,180.14716206479633,4.51085950651685,1,1,1,1,0,1,1,0,1
1,319.4041327221675,4.343805421853684,1,0,0,1,0,0,1,0,1
1,389.74093959962687,5.10594547390058,1,1,1,0,1,1,0,1,1
1,277.21652187414804,4.189654742026425,1,0,0,1,0,0,0,0,1
1,229.47984660967506,4.584967478670572,1,1,1,1,0,1,1,0,1
1,261.4096402200959,4.174387269895637,0,0,1,1,0,1,1,0,0
0,214.43413907304966,4.1588830833596715,1,0,1,1,0,1,1,0,0
1,320.50585018061685,4.04305126783455,0,0,0,0,1,0,0,0,0
1,335.72161086233336,4.990432586778736,1,0,1,0,1,1,0,1,1
0,237.49947368362734,3.970291913552122,1,1,0,1,0,0,1,0,0
1,434.20962679332666,4.927253685157205,1,0,0,0,1,1,0,1,1
1,313.12936623702353,4.442651256490317,0,0,0,0,1,1,0,0,0
0,358.4717562096071,4.343805421853684,1,0,0,0,1,1,1,1,0
0,373.56659379553736,4.394449154672439,1,1,0,0,1,0,1,1,1
0,293.2371054283547,3.912023005428146,0,0,1,0,1,0,0,0,0
1,406.4209640262175,5.049856007249537,1,1,1,0,1,1,0,1,1
1,277.2778389990805,4.31748811353631,1,1,0,1,0,1,1,0,0
1,357.82537640586645,4.48863636973214,0,0,0,0,1,1,0,0,0
1,322.49030993194197,4.07753744390572,0,0,0,0,1,0,0,0,0
0,308.21907792996853,4.276666119016055,1,0,1,1,0,1,1,0,0
0,213.0422493309719,3.7376696182833684,0,0,1,0,1,0,1,0,0
1,255.693175505331,3.8918202981106265,1,0,1,1,0,0,1,0,0
1,326.95106667512187,4.442651256490317,0,0,0,0,1,1,0,0,0
0,160.95962226595836,3.8501476017100584,0,1,1,1,0,0,1,0,0
1,325.0307677743755,4.6443908991413725,1,0,0,0,1,1,1,0,1
1,295.3692604182094,3.8918202981106265,0,0,0,0,1,0,1,0,0
0,199.017587162542,3.6375861597263857,1,1,1,1,0,0,1,0,0
1,356.72117963473937,3.8918202981106265,0,0,0,0,1,0,1,0,0
1,322.95820162987036,4.343805421853684,1,0,0,1,0,1,0,0,0
0,250.45758123881976,3.9512437185814275,0,0,1,0,1,0,0,0,0
0,210.60389360123426,4.127134385045092,0,0,1,1,0,1,1,0,0
0,239.37209528263733,4.77912349311153,0,0,1,1,0,1,0,0,1
0,279.4423017368702,3.8918202981106265,1,0,0,0,1,0,1,1,0
1,146.23269128344728,3.713572066704308,1,0,1,1,0,0,1,0,0
1,270.69540077363706,4.430816798843313,1,0,1,1,0,0,0,1,1
1,124.80785231707178,3.4965075614664802,0,0,1,1,0,0,0,0,0
1,362.79195139914555,4.454347296253507,1,1,1,0,1,0,1,1,1
1,275.4505400248836,3.9318256327243257,0,0,1,0,1,0,1,0,0
0,421.0748152050892,4.663439094112067,0,0,0,0,1,1,1,1,1
1,299.1203771059404,4.6913478822291435,0,0,1,0,1,1,0,0,1
1,298.67708315168744,4.31748811353631,1,0,0,0,1,0,0,0,1
0,290.1671931835162,4.406719247264253,1,0,1,1,0,1,0,0,0
1,239.2112037509949,4.418840607796598,1,1,0,1,0,1,0,0,0
0,399.7224036753507,4.532599493153256,1,0,1,0,1,1,1,1,0
0,143.83671297690307,3.7376696182833684,1,0,1,1,0,0,1,0,0
0,224.94666034418026,4.574710978503383,1,1,1,1,0,1,0,0,1
1,353.17276225666103,4.143134726391533,0,0,0,0,1,1,1,0,0
0,392.9796432386797,4.04305126783455,0,0,0,0,1,0,1,1,0
0,137.83323256747627,4.07753744390572,0,1,1,1,0,1,1,0,0
0,410.7894837991839,4.859812404361672,1,0,1,0,1,1,1,0,1
1,207.97596014924417,3.7376696182833684,0,0,1,0,1,0,1,0,0
1,254.89605724687073,4.31748811353631,0,1,0,1,0,1,0,0,0
1,214.65553801381412,4.02535169073515,1,1,0,1,0,0,0,0,0
1,227.1893483418622,4.2626798770413155,1,1,0,1,0,1,0,0,0
1,146.12323566086263,3.784189633918261,0,1,1,1,0,0,1,0,0
1,197.50443033005615,4.060443010546419,1,0,0,1,0,0,1,0,1
0,230.6599228301267,4.0943445622221,1,0,1,1,0,1,1,0,0
0,301.5344093134314,3.9318256327243257,1,0,0,1,0,0,1,0,0
1,287.2124649105606,4.406719247264253,1,0,0,0,1,0,0,0,1
1,229.90432792794485,4.330733340286331,0,0,1,1,0,1,0,0,0
1,339.38473742936645,4.477336814478207,0,0,0,0,1,1,0,0,0
1,283.5877289305727,4.59511985013459,0,0,1,0,1,1,0,0,1
0,252.3767025697895,3.8066624897703196,1,0,1,1,0,0,1,0,0
1,153.8538267317391,4.060443010546419,0,1,1,1,0,1,1,0,0
0,275.23989536402604,4.219507705176107,1,1,0,0,1,1,1,0,0
1,142.4850869389495,4.189654742026425,1,1,1,1,0,0,1,0,1
1,339.22706259966935,4.77912349311153,1,0,1,0,1,1,0,1,1
0,216.00231480241132,3.7612001156935624,1,0,1,1,0,0,1,0,0
0,420.7101139739809,4.442651256490317,1,0,0,0,1,1,1,1,0
1,320.27956537999734,4.418840607796598,0,0,0,1,0,1,0,0,0
1,337.4640721617636,4.795790545596741,1,0,1,0,1,1,1,0,1
1,235.216921160022,4.584967478670572,1,1,1,1,0,1,1,0,1
1,304.5833219334243,4.553876891600541,1,0,0,0,1,0,1,1,1
1,310.74748591098853,4.356708826689592,1,0,0,1,0,0,1,0,1
1,367.47789049138726,4.477336814478207,0,0,0,0,1,0,0,0,1
1,326.9495373907111,4.718498871295094,1,0,0,0,1,1,0,0,1
1,313.1006228035965,4.248495242049359,1,0,1,1,0,1,1,0,0
0,313.0798620160677,4.624972813284271,1,0,0,0,1,0,0,0,1
0,285.7586394144541,4.30406509320417,1,1,0,1,0,1,0,0,0
0,336.0282726200282,4.382026634673881,1,0,0,0,1,1,1,0,0
1,293.9948979149128,4.02535169073515,0,0,0,1,0,0,0,0,0
0,323.505795929532,3.970291913552122,1,0,0,0,1,0,1,0,0
1,303.07589808495163,4.110873864173311,0,0,0,0,1,0,0,0,0
1,291.04123419199556,4.31748811353631,1,0,0,1,0,1,1,0,0
1,343.8211744497421,4.343805421853684,0,0,0,0,1,1,0,0,0
1,152.59423318068085,4.07753744390572,0,0,1,1,0,1,1,0,0
1,148.53282465502363,3.6888794541139363,1,0,1,1,0,0,1,0,0
1,147.61774961026876,4.060443010546419,1,1,1,1,0,1,1,0,0
1,343.3555009024903,4.990432586778736,1,0,0,1,0,1,0,0,1
1,382.97388944939837,4.663439094112067,1,0,0,0,1,0,0,1,1
1,259.32797766534947,4.31748811353631,0,0,1,0,1,1,0,1,0
0,180.31361568112376,4.248495242049359,0,1,1,1,0,1,1,0,0
1,249.04417278868422,4.290459441148391,0,0,0,0,1,1,0,0,0
0,286.674030913161,3.871201010907891,0,0,1,1,0,0,1,0,0
1,251.53926134899896,4.499809670330265,1,1,0,1,0,1,0,0,0
1,332.454508166155,4.5217885770490405,1,1,1,0,1,0,0,1,1
1,312.87537455031514,4.624972813284271,1,0,1,0,1,0,0,0,1
1,223.14793299513218,4.2626798770413155,0,0,1,1,0,1,0,0,0
1,335.3431078760976,4.219507705176107,0,0,0,0,1,1,1,0,0
1,125.67418191498204,4.430816798843313,1,1,1,1,0,1,1,0,1
1,250.19992006393608,4.204692619390966,1,0,1,1,0,1,1,0,0
1,153.20900756809309,4.406719247264253,1,1,1,1,0,1,0,0,1
1,320.3295178406136,4.1588830833596715,1,0,0,0,1,0,1,1,0
1,232.38975881049493,4.290459441148391,0,0,1,1,0,1,0,0,0
1,276.2028240261131,4.04305126783455,1,0,1,0,1,0,0,0,0
0,318.0267284364633,4.762173934797756,1,0,0,0,1,1,1,0,1
1,297.28605752708955,5.003946305945459,1,0,0,0,1,1,0,1,1
0,279.96071152931444,3.9889840465642745,0,1,1,0,1,0,0,0,0
0,212.4711745155093,3.713572066704308,1,0,1,1,0,0,1,0,0
1,103.96634070698074,3.912023005428146,0,1,1,1,0,0,1,0,1
0,220.7056863789422,3.9889840465642745,0,1,0,1,0,0,1,0,0
1,202.07176942858692,4.465908118654584,1,1,1,1,0,1,1,0,1
0,318.79930991142373,4.672828834461906,1,0,0,1,0,1,1,0,1
0,274.3082208028042,4.189654742026425,1,0,0,0,1,1,1,0,0
1,192.9067132061505,4.219507705176107,0,0,1,1,0,0,0,0,1
1,405.95935757166626,5.075173815233827,1,1,1,0,1,1,0,1,1
0,357.43670768403183,4.574710978503383,1,0,1,0,1,0,1,1,1
0,339.5555919139015,4.356708826689592,1,0,0,0,1,1,1,0,0
0,332.5146613308953,4.276666119016055,1,0,0,0,1,1,1,0,0
0,215.466934818315,3.7612001156935624,0,0,1,1,0,0,1,0,0
1,402.59408838183407,4.672828834461906,1,0,0,0,1,1,0,1,0
1,235.96186132508788,4.276666119016055,0,1,0,1,0,1,0,0,0
0,137.62267255071018,4.060443010546419,1,1,1,1,0,1,1,0,0
0,308.8203361179441,4.5217885770490405,0,1,1,0,1,1,0,0,0
0,273.86310448835565,3.8918202981106265,1,0,1,1,0,0,1,0,0
1,224.94888308235718,4.007333185232471,0,0,1,0,1,0,0,0,0
1,188.2763925721969,3.6888794541139363,0,0,1,1,0,0,0,0,0
1,387.7924702724384,4.836281906951478,1,0,1,0,1,1,1,1,1
0,307.14817271147814,4.343805421853684,0,0,0,0,1,1,1,0,0
0,354.12144809372955,4.804021044733257,1,0,1,0,1,1,1,0,1
1,247.33580412063273,4.007333185232471,0,0,0,1,0,0,0,0,0
1,111.2924076476019,4.02535169073515,0,1,1,1,0,0,1,0,1
1,130.15759678174763,3.970291913552122,0,1,1,1,0,1,1,0,0
0,428.62337780387105,4.634728988229636,1,0,0,0,1,1,1,1,0
1,223.34950190228767,4.1588830833596715,0,0,1,1,0,1,1,0,0
1,209.72601173912597,4.174387269895637,1,1,1,1,0,0,1,0,1
1,349.94285247737236,4.955827057601261,0,1,0,0,1,1,0,1,1
0,301.99834436632267,4.330733340286331,1,0,1,1,0,1,1,0,0
1,219.9681795169474,3.784189633918261,0,1,0,1,0,0,0,0,0
1,319.3649949509182,4.02535169073515,0,0,0,0,1,0,0,0,0
1,221.44976857066254,4.290459441148391,1,0,1,1,0,0,1,0,1
1,292.1044333795706,3.9889840465642745,1,0,0,1,0,0,1,0,0
0,346.75063085739293,4.3694478524670215,0,0,1,1,0,1,0,0,0
1,293.99659861977995,4.574710978503383,0,0,1,0,1,1,0,0,0
1,299.0735695443514,3.9318256327243257,0,0,0,0,1,0,0,0,0
1,228.12715752404404,4.2626798770413155,1,0,1,1,0,1,0,0,0
1,243.41939117498424,3.871201010907891,0,0,1,1,0,0,0,0,0
1,198.886902535084,4.204692619390966,0,0,1,1,0,1,1,0,0
1,390.40107581818984,3.9889840465642745,1,0,0,0,1,0,1,0,0
1,146.03424255975034,4.543294782270004,1,1,1,1,0,1,0,0,1
1,343.57531925328976,4.634728988229636,1,0,1,0,1,1,0,0,0
1,356.9747890257798,5.017279836814924,1,0,0,0,1,1,0,0,1
1,224.54620905283616,4.442651256490317,0,0,0,1,0,1,0,0,0
0,363.0303017655689,4.04305126783455,1,0,0,0,1,0,1,0,0
1,129.6225289060509,4.248495242049359,0,0,1,1,0,1,0,0,0
1,258.67353942759587,4.127134385045092,0,1,1,0,1,0,0,1,0
1,419.82734546477553,4.941642422609304,0,1,0,0,1,1,0,1,1
0,361.41250670113783,4.564348191467836,1,0,1,0,1,0,1,1,1
0,291.75332046096753,4.248495242049359,0,0,1,1,0,1,1,0,0
1,407.787935083911,4.969813299576001,1,1,1,0,1,1,1,1,1
1,224.624130493587,4.330733340286331,0,1,0,1,0,1,0,0,0
1,257.722719215827,4.477336814478207,0,1,0,1,0,1,0,0,0
1,273.1391586719121,4.276666119016055,1,0,1,0,1,0,1,0,1
1,147.61774961026876,4.060443010546419,1,1,1,1,0,1,1,0,0
1,192.4421991144354,4.060443010546419,1,1,1,1,0,0,1,0,1
1,236.71924298628534,4.418840607796598,1,1,1,1,0,1,1,0,1
1,295.76849054623784,4.499809670330265,0,0,1,0,1,1,0,0,0
0,127.62836675285006,4.23410650459726,0,1,1,1,0,1,1,0,0
1,265.26778922439865,4.204692619390966,1,0,1,0,1,0,1,0,1
0,264.9377285325742,4.672828834461906,1,0,0,1,0,1,1,0,1
0,415.41665830825804,4.948759890378168,1,0,0,0,1,1,0,0,1
1,360.52739146977444,4.543294782270004,1,0,1,0,1,0,1,1,1
0,162.42536747688152,4.04305126783455,1,0,1,1,0,1,1,0,0
0,308.36017901149296,4.3694478524670215,1,0,1,1,0,1,0,0,0
1,185.2322866025251,3.9318256327243257,1,1,1,1,0,0,1,0,1
0,308.2807162311649,4.248495242049359,0,0,0,0,1,1,1,0,0
1,314.75863768926183,3.9318256327243257,0,0,0,0,1,0,0,0,0
1,216.25447972238632,3.8066624897703196,0,0,1,0,1,0,0,0,0
0,240.8132056179644,4.174387269895637,0,0,1,0,1,1,0,0,0
1,432.4962427582464,4.875197323201151,1,0,0,0,1,1,0,1,1
1,277.84528068693197,4.248495242049359,0,1,0,1,0,1,1,0,0
1,351.6333317534047,4.983606621708336,1,0,1,0,1,1,0,0,1
1,343.72954484594425,4.3694478524670215,1,0,0,0,1,1,1,0,0
1,108.47580375364821,4.605170185988092,1,1,1,1,0,1,1,0,1
1,276.19015188815115,4.007333185232471,0,0,1,0,1,0,1,0,0
0,248.39685988353395,4.5217885770490405,1,0,0,1,0,1,1,0,1
1,226.64289090990698,3.784189633918261,0,0,0,0,1,0,0,0,0
1,321.8804125758509,4.219507705176107,1,0,0,0,1,0,0,1,0
1,130.9541904636885,3.7612001156935624,0,1,1,1,0,0,0,0,0
1,387.54483611577126,4.836281906951478,1,0,1,0,1,1,1,1,1
0,314.8205838251368,4.61512051684126,1,0,1,0,1,0,0,1,1
0,219.47209389806258,4.1588830833596715,0,1,1,1,0,1,1,0,0
0,317.6822311681911,4.04305126783455,1,0,0,0,1,0,1,0,0
1,284.1566469396766,4.007333185232471,0,0,1,1,0,0,0,0,0
1,357.8840594382488,4.634728988229636,1,1,1,0,1,0,0,0,1
1,208.64563259268093,3.9318256327243257,0,0,1,0,1,0,0,0,0
0,305.3227800214062,4.605170185988092,1,0,0,1,0,1,1,0,1
1,222.73751367921838,4.574710978503383,1,1,1,1,0,1,1,0,1
1,283.8996301512209,4.882801922586371,0,0,1,1,0,1,0,1,1
0,402.20392837464925,4.584967478670572,1,0,0,0,1,1,1,1,0
0,323.8518179661803,4.356708826689592,1,0,0,0,1,1,1,0,0
1,291.26448461836196,4.04305126783455,0,0,1,1,0,0,0,0,0
1,273.72979377481,4.31748811353631,1,0,0,1,0,0,1,0,1
1,224.9066473006078,4.330733340286331,1,0,1,1,0,0,0,1,1
1,226.92069099136816,4.59511985013459,1,0,1,1,0,1,0,0,1
1,357.49265726725076,4.30406509320417,1,0,0,0,1,0,1,1,1
0,292.3302926485724,3.9512437185814275,1,0,0,0,1,0,0,0,0
1,130.98091464026353,3.970291913552122,1,1,1,1,0,0,1,0,0
1,305.96405017583356,3.8918202981106265,0,0,0,0,1,0,0,0,0
1,184.83776670366908,4.499809670330265,1,1,1,1,0,1,1,0,1
1,306.579516602137,3.9889840465642745,0,0,0,0,1,0,0,0,0
0,413.44407118738565,4.962844630259907,1,1,1,0,1,1,1,1,1
1,269.9296204568887,4.174387269895637,0,0,1,1,0,1,1,0,0
1,222.45224206557236,4.290459441148391,0,0,1,1,0,1,0,0,0
1,279.4118823529164,4.330733340286331,1,0,1,1,0,1,0,0,0
1,288.5480895795361,3.8066624897703196,1,0,0,0,1,0,1,0,0
0,243.82370680473218,3.912023005428146,0,0,1,0,1,0,0,0,0
1,315.0222214384249,4.454347296253507,1,0,1,0,1,1,1,0,0
0,285.06841284154933,3.8501476017100584,0,0,0,0,1,0,0,0,0
1,377.87564091907274,4.5217885770490405,0,0,0,0,1,0,0,1,1
0,131.6016717219048,3.784189633918261,0,1,1,1,0,0,0,0,0
0,144.46106741956464,4.248495242049359,0,1,1,1,0,1,1,0,0
1,278.74719729532706,4.356708826689592,1,1,0,0,1,1,0,0,0
1,256.3454700204394,4.189654742026425,1,0,1,1,0,1,1,0,0
1,321.49183504406454,4.454347296253507,1,0,1,0,1,1,1,0,0
1,315.32522893038544,4.5217885770490405,0,0,1,0,1,0,0,1,1
0,339.14451197092956,4.007333185232471,1,0,0,0,1,0,0,1,0
1,375.1692951188836,4.51085950651685,0,0,0,0,1,1,0,0,0
0,209.63539777432626,4.189654742026425,0,0,1,1,0,1,1,0,0
1,187.87495841649573,3.8501476017100584,1,0,1,1,0,0,1,0,0
1,326.234578179567,4.912654885736052,1,0,0,1,0,1,0,0,1
1,284.8315291536385,3.912023005428146,0,0,0,0,1,0,0,0,0
1,317.1403474804176,4.624972813284271,1,0,0,0,1,0,0,1,1
0,129.97692102831178,3.970291913552122,0,1,1,1,0,1,1,0,0
1,151.39022425506872,4.290459441148391,1,1,1,1,0,1,1,0,1
1,185.39687160251654,4.110873864173311,0,1,1,1,0,1,0,0,0
1,350.39691779466324,4.983606621708336,1,0,1,0,1,1,0,1,1
0,201.03979705520993,4.189654742026425,1,1,1,1,0,1,1,0,0
1,153.53826884526217,3.8501476017100584,0,0,1,1,0,0,0,0,0
1,319.0595555691758,4.812184355372417,1,1,1,0,1,1,0,0,1
1,374.6598457267605,4.634728988229636,0,1,1,0,1,0,0,0,1
1,415.2637715958376,4.465908118654584,0,0,0,0,1,1,1,0,0
1,262.79459659589656,3.8066624897703196,0,0,0,1,0,0,1,0,0
1,293.54216051531677,4.356708826689592,1,0,1,1,0,1,0,0,0
1,301.68029435148725,4.04305126783455,1,0,0,0,1,0,0,0,0
1,238.58751015088782,4.330733340286331,0,0,1,1,0,1,0,0,0
0,400.75179350815137,5.0106352940962555,1,1,1,0,1,1,1,0,1
0,162.4776907763032,4.23410650459726,1,1,1,1,0,1,1,0,0
1,268.06156009394556,4.7535901911063645,0,1,1,1,0,1,0,0,1
1,356.2695608664877,4.2626798770413155,0,0,0,0,1,1,1,0,0
0,354.60541451026944,4.634728988229636,1,1,1,0,1,0,0,1,1
0,241.44978774063978,4.31748811353631,0,0,1,1,0,1,0,0,0
1,135.64659966250537,4.465908118654584,1,1,1,1,0,1,1,0,1
1,349.7899369621716,4.897839799950911,1,0,1,0,1,1,1,1,1
0,393.0826885020504,3.8918202981106265,1,0,0,0,1,0,1,0,0
1,387.03359027350587,4.3694478524670215,1,0,0,0,1,0,0,1,1
1,407.58312035706285,4.605170185988092,1,0,0,0,1,1,1,1,0
1,181.72781845386248,4.189654742026425,0,1,0,1,0,1,0,0,0
1,331.67604676852983,4.499809670330265,0,0,0,0,1,1,0,0,0
1,328.703513823628,4.02535169073515,0,0,0,0,1,0,0,0,0
1,391.41410296513334,5.043425116919247,0,1,1,0,1,1,0,0,1
0,358.7533971964586,4.624972813284271,1,1,1,0,1,0,0,1,1
1,280.7258449092281,4.394449154672439,0,0,1,0,1,1,1,0,0
0,219.84085152673512,3.7612001156935624,0,1,1,1,0,0,1,0,0
1,249.8839730755056,3.828641396489095,0,0,1,1,0,0,1,0,0
1,311.76273029340757,4.955827057601261,1,0,0,0,1,1,0,0,1
0,229.46459421880317,4.553876891600541,0,0,0,1,0,1,1,0,1
1,277.43467699622556,3.8066624897703196,1,0,0,0,1,0,1,0,0
1,386.66910918768775,5.093750200806762,0,1,0,0,1,1,0,0,1
1,201.1392552437241,3.8501476017100584,0,0,1,1,0,0,0,0,0
1,255.740102447778,4.290459441148391,0,0,1,1,0,1,0,0,0
1,139.30183056945089,3.6375861597263857,0,1,1,1,0,0,0,0,0
1,323.4285083291206,4.430816798843313,1,0,1,0,1,0,1,0,1
1,334.86863095847,4.31748811353631,1,0,0,1,0,1,1,0,0
1,365.0767042691166,4.442651256490317,1,0,0,0,1,0,0,0,1
1,245.46690204587665,4.718498871295094,1,0,1,1,0,1,1,1,1
1,385.2959901166894,4.820281565605037,1,0,0,0,1,1,0,1,1
1,385.5243182991185,4.51085950651685,0,0,0,0,1,0,0,0,1
0,326.3786144954966,3.871201010907891,0,0,1,1,0,0,1,0,0
1,130.51819796488152,4.5217885770490405,1,1,1,1,0,1,1,0,1
1,318.33630016069486,4.007333185232471,1,0,0,1,0,0,0,0,0
0,331.52073841616607,3.8501476017100584,0,0,0,0,1,0,1,1,0
1,327.2537241957683,4.543294782270004,0,0,1,0,1,1,0,0,0
1,249.3290997858052,3.9512437185814275,0,1,0,0,1,0,0,0,0
1,251.49552679918582,4.174387269895637,0,1,0,1,0,1,1,0,0
1,251.9444383192453,3.8501476017100584,0,0,1,1,0,0,1,0,0
1,341.34879522271643,4.442651256490317,0,0,1,1,0,1,0,0,0
0,170.03234986319515,4.060443010546419,0,1,1,1,0,1,1,0,0
1,225.86943130932968,4.454347296253507,0,0,0,1,0,1,0,0,0
1,208.95693336187722,4.2626798770413155,0,0,1,1,0,1,0,0,0
1,356.9607821596092,4.553876891600541,0,1,1,0,1,0,0,1,1
1,355.06619101232377,4.418840607796598,1,0,0,0,1,1,1,0,0
0,203.33224043422135,3.7612001156935624,1,0,1,1,0,0,1,0,0
1,276.43082317281477,3.8066624897703196,0,0,1,1,0,0,0,0,0
1,294.91524206117253,4.59511985013459,1,0,0,1,0,1,1,0,1
0,216.6771792321471,4.174387269895637,0,0,1,1,0,1,0,0,0
1,250.4755477087534,4.59511985013459,1,1,1,1,0,1,1,1,1
1,291.2112635184292,4.68213122712422,1,0,1,0,1,1,0,0,1
1,345.15069172754096,4.7535901911063645,1,0,1,0,1,1,0,1,1
0,318.15247916682966,4.3694478524670215,1,0,0,0,1,1,1,1,0
1,248.43711477957555,4.276666119016055,0,0,1,1,0,1,0,0,0
1,383.23882893047255,5.0689042022202315,1,1,1,0,1,1,0,1,1
0,257.3460704965203,4.0943445622221,1,0,0,1,0,0,1,0,1
1,154.57684173251826,4.2626798770413155,0,1,1,1,0,1,1,0,0
0,364.7697904158183,4.127134385045092,1,0,0,0,1,0,1,0,0
1,218.5040045399626,3.828641396489095,0,0,1,1,0,0,0,0,0
1,285.4645336990219,4.007333185232471,1,0,1,0,1,0,1,0,0
1,395.5793220076095,4.804021044733257,1,0,0,0,1,1,1,1,1
0,126.44761761298629,4.1588830833596715,0,1,1,1,0,1,1,0,0
1,208.96411175127656,4.248495242049359,0,0,1,1,0,1,0,0,0
1,255.91990934665478,4.3694478524670215,0,1,0,1,0,1,0,0,0
0,372.1599118658537,4.442651256490317,1,0,0,1,0,1,1,0,0
1,365.38883398374395,4.61512051684126,0,0,0,0,1,1,0,0,0
1,402.33692348577705,5.123963979403259,1,0,1,0,1,1,0,1,1
1,208.4514331924825,3.8501476017100584,0,0,1,1,0,0,0,0,0
1,308.8948041000366,4.382026634673881,1,0,1,1,0,1,0,0,0
1,366.35092466104135,4.77912349311153,1,0,0,1,0,1,1,0,1
1,161.58279611394278,4.204692619390966,1,1,1,1,0,1,1,0,0
1,225.67675999092154,4.564348191467836,1,0,1,1,0,1,1,1,1
0,326.08894492147385,4.248495242049359,0,0,1,1,0,1,1,0,0
1,116.77756633874505,3.9512437185814275,0,0,1,1,0,0,0,0,0
0,156.89168237991458,4.060443010546419,0,1,1,1,0,1,1,0,0
0,228.22795621921517,4.143134726391533,1,0,1,1,0,1,1,0,0
1,351.91476240703514,4.6443908991413725,1,1,1,0,1,1,1,0,1
1,146.03424255975034,4.382026634673881,1,1,1,1,0,1,1,0,1
1,185.4939352108311,4.248495242049359,1,1,0,1,0,1,0,0,0
1,211.02606474082768,3.6635616461296463,0,0,0,0,1,0,0,0,0
0,377.89284195390627,4.553876891600541,1,1,1,0,1,0,1,1,1
